texto,label,fonte,data_coleta
Sílvio volta das férias em Miami e não descarta possibilidade de ser candidato à presidência.,falso,Fake.br-Corpus,2026-05-24
Governo prende críticos políticos,falso,TSE,2021-12-10
Crescimento econômico acelera,verdadeiro,Agência Brasil,2023-01-16
Presidente participa de cúpula do Mercosul,verdadeiro,Lupa,2021-06-19
turistas rumo à copa devem estar alerta para vacina do sarampo,verdadeiro,Jornal Folha Vitória,2026-05-24
"Dario Durigan assumiu o Ministério da Fazenda enfrentando forte pressão fiscal e desafios herdados de Fernando Haddad. Logo nos primeiros dias, anunciou um bloqueio de R$ 1,6 bilhão no orçamento para cumprir o arcabouço fiscal. O governo projeta um déficit primário de R$ 59,8 bilhões ao incluir precatórios nas contas de 2026.",verdadeiro,Agência Brasil,2026-06-12
Maria de Fátima (vítima de um AVC) morreu na fila do SUS.,falso,Fake.br-Corpus,2026-05-24
"Pesquisa Quaest aponta que o presidente Lula lidera as intenções de voto para o segundo turno das eleições de 2026 com 44%, enquanto Flávio Bolsonaro aparece com 38%. O levantamento mostra que eleitores independentes têm migrado para a candidatura governista em meio a sinais de melhora nos indicadores de emprego.",verdadeiro,G1,2026-06-12
Decreto autoriza venda da Amazônia,falso,Fato ou Fake,2022-09-04
Sérgio Moro determina transferência de ex-assessor de Palocci.,falso,Fake.br-Corpus,2026-05-24
"Condenado a quase 60 anos de prisão, ex-governador do Rio tem crises de choro no Complexo de Bangu. .",falso,Fake.br-Corpus,2026-05-24
quem ganha e quem perde com a alta do petróleo veja reflexo da guerra no oriente médio nos países,verdadeiro,O GLOBO,2026-05-24
finalizada a reforma de passarela na avenida ipiranga sobre o arroio dilúvio,verdadeiro,Correio Do Povo,2026-05-24
"Em vídeo, Delegado da PF (que investigava Lula) confirma que foi afastado por diretor.",falso,Fake.br-Corpus,2026-05-24
cresce no psb apoio ao nome de josué gomes ao governo de minas,verdadeiro,UOL Notícias,2026-05-24
Bancos vão fechar permanentemente em 2026,falso,Fato ou Fake,2024-12-01
prefeitura leva ação educativa à orla aberta sobre o uso de faixas na ponta verde,verdadeiro,Tribuna Independente,2026-05-24
"Desemprego recua para 7,2%",verdadeiro,Aos Fatos,2022-02-28
Presidente se reúne com líderes internacionais,verdadeiro,Fato ou Fake,2020-06-03
dupla rouba moto sofre acidente e suspeito abandona comparsa ferido em oeiras,verdadeiro,Meio Norte,2026-05-24
"Índice de confiança do consumidor sobe 4,2%",verdadeiro,TSE,2025-12-02
Presidente ordena prisão de jornalistas,falso,Aos Fatos,2020-11-06
trump já sugeriu domo de ouro para proteger casa branca,verdadeiro,O Tempo,2026-05-24
imposto de renda é tema hoje na tv pajuçara a partir das hm,verdadeiro,TNH1,2026-05-24
"Taxa Selic cai para 9,5% ao ano",verdadeiro,Agência Brasil,2025-05-05
curso sala de vacina em rio branco ac,verdadeiro,EBC,2026-05-24
"Ninguém melhor que o próprio Lula para explicar como funciona o Bolsa Família. . "" É por isso que se distribui tanto tíquete de leite, porque isso na verdade é uma peça de troca em época de eleição e assim o processo eleitoral é despolitizado, tratando o povo mais pobre da mesma forma que Cabral tratou os índios quando chegou ao Brasil, em que ele distribuía bijuterias para ganhar a confiança dos índios, assim os governos distribuem alimento para manter a política de dominação"".",falso,Fake.br-Corpus,2026-05-24
"Coreia do Norte ameaça: ""Se o porta-aviões dos EUA se aproximar mais um pouco, vamos destruí-lo"".",falso,Fake.br-Corpus,2026-05-24
Presidente negocia entrega de terras,falso,Aos Fatos,2020-10-09
Sistema financeiro quebra,falso,Fato ou Fake,2026-03-19
Governo negocia entrega do Brasil para potência estrangeira,falso,Fato ou Fake,2021-11-12
Terceira barragem de Mariana está trincada e pode se romper a qualquer momento.,falso,Fake.br-Corpus,2026-05-24
o mundo político de não é o de diz lula,verdadeiro,Brasil 247,2026-05-24
haddad diz que ecossistema vorcarobolsonaro deve impactar eleições,verdadeiro,Metrópoles,2026-05-24
IPCA fecha mês dentro da meta do Banco Central,verdadeiro,TSE,2023-06-12
"URGENTE: Lula pode se tornar um ""ficha-suja"" e perder a oportunidade de concorrer em 2018.",falso,Fake.br-Corpus,2026-05-24
"Agência internacional de notícias faz perfil de Galvão: ""Conhecido pelos desentendimentos com convidados"".",falso,Fake.br-Corpus,2026-05-24
"Conheça Toninho motoboy, o ""Bruce Willis"" brasileiro que escapou ileso de um acidente cinematográfico!.",falso,Fake.br-Corpus,2026-05-24
Governo vai obrigar todos a se vacinarem com chip,falso,Fato ou Fake,2023-07-03
Vídeo da NASA mostra OVNI reabastecendo suas energias no sol.,falso,Fake.br-Corpus,2026-05-24
CUIDADO: A reforma tributária aprovada pelo Congresso vai aumentar o preço da cesta básica em 60% já no próximo mês.,falso,WhatsApp,2026-06-12
Jornal inglês apavora o mundo e diz que o APOCALIPSE poderá acontecer em breve. .,falso,Fake.br-Corpus,2026-05-24
caso deolane suspeita de lavar dinheiro para o pcc era beneficiária do bolsa família,verdadeiro,Diário do Centro do Mundo,2026-05-24
Lei aprova confisco de propriedades,falso,TSE,2025-12-11
ator da globo reaparece na web após ser dado como morto,verdadeiro,A Tarde,2026-05-24
Indústria química cresce,verdadeiro,Aos Fatos,2020-02-05
Bolsa de Valores vai fechar permanentemente,falso,Fato ou Fake,2023-03-21
"Fotógrafo tem equipamento de US$ 40 mil roubado e elogia ladrões do RJ: ""São bons no que fazem"".",falso,Fake.br-Corpus,2026-05-24
"Presidente da Rússia barra Michel Temer no encontro do BRICS: ""devido às mudanças bruscas ocorridas na política"".",falso,Fake.br-Corpus,2026-05-24
candidatos querem reforma do judiciário e stf com menos poderes,verdadeiro,Consultor Jurídico,2026-05-24
todas as empresas são de tecnologia,verdadeiro,A Tribuna,2026-05-24
paulista abre cadastro para auxílio estadual de famílias atingidas pelas fortes chuvas,verdadeiro,Folha De Pernambuco,2026-05-24
Carmem Lucia esculacha Michel Temer.,falso,Fake.br-Corpus,2026-05-24
Jornalista que entrevistou Dilma recebeu R$ 814 mil do governo petista em 2016.,falso,Fake.br-Corpus,2026-05-24
"COPOM aprova corte de 0,75 ponto percentual",verdadeiro,Aos Fatos,2020-10-26
você também perde noites de sono,verdadeiro,UOL,2026-05-24
"Delegado da PF faz alerta: ""Cuidado com os jatinhos de empresários! Lula pode fugir do país!"".",falso,Fake.br-Corpus,2026-05-24
o brasil tem tudo para ser protagonista da nova ordem mundial afirma lula,verdadeiro,Brasil 247,2026-05-24
Traficantes atacam carro da Força Nacional: 3 policiais ficaram feridos e um está desaparecido.,falso,Fake.br-Corpus,2026-05-24
saiba como identificar as figurinhas falsas da copa do mundo e evitar golpes,verdadeiro,Correio,2026-05-24
Empresário que sabia demais sobre acidente com avião de Campos pode ter sido vítima de envenenamento.,falso,Fake.br-Corpus,2026-05-24
MP pede proibição de filmagens no MAM e acaba praticando atentado contra a humanidade.,falso,Fake.br-Corpus,2026-05-24
reclamação na web por que figurinhas da copa estão custando caro,verdadeiro,Metrópoles,2026-05-24
Começa o desmonte do PMDB. Dois ministros de Temer aparecem nas primeiras delações da Odebrecht. .,falso,Fake.br-Corpus,2026-05-24
População fica desempregada,falso,Agência Brasil,2024-02-01
Real aprecia 2% em relação ao dólar,verdadeiro,Lupa,2023-05-18
Calheiros extrapola todos os limites e tenta acabar com o Ministério Público.,falso,Fake.br-Corpus,2026-05-24
Decreto proíbe dinheiro em espécie,falso,Agência Brasil,2024-09-28
Lei proíbe manifestações,falso,Lupa,2025-09-15
Taxa de juros atinge patamar histórico,verdadeiro,Fato ou Fake,2025-06-11
Metade da população vai ficar desempregada,falso,Aos Fatos,2025-10-29
a reação de ciro nogueira à possibilidade de flávio bolsonaro sair da disputa,verdadeiro,Estado de Minas,2026-05-24
Desemprego vai chegar a 50% em 2026,falso,Agência Brasil,2025-11-02
pf e receita têm que trabalhar juntas e preservar provas diz diretor,verdadeiro,UOL Notícias,2026-05-24
stf anula eleição da mesa diretora da câmara de várzea grande mt,verdadeiro,G1,2026-05-24
Lula assina decreto para confiscar contas bancárias de opositores,falso,Lupa,2020-10-22
como declarar carro comprado com dinheiro emprestado,verdadeiro,UOL Economia,2026-05-24
Bolsa brasileira supera mercados internacionais,verdadeiro,Aos Fatos,2025-08-19
congresso discute muito além dos rótulos do autismo,verdadeiro,O DIA,2026-05-24
"IPCA fecha em 0,2% no mês",verdadeiro,Lupa,2023-12-01
figurinhas violaram honra de servidora no pr segundo justiça,verdadeiro,G1,2026-05-24
filho do dono de bar onde pessoas três foram assassinadas no paraná é uma das vítimas estabelecimento foi comprado há três dias,verdadeiro,G1,2026-05-24
Maior exército do planeta poderá reforçar guerra contra o Estado Islâmico.,falso,Fake.br-Corpus,2026-05-24
STF ordena prisão de todos os bolsonaristas,falso,Agência Brasil,2023-10-10
o corpo em movimento mente em equilíbrio os benefícios da dança,verdadeiro,Correio Braziliense,2026-05-24
Sistema bancário colapsa,falso,TSE,2024-11-07
"Temer fica nervoso e diz a senadores: ""Não me querem? Então votem para o retorno da Dilma"".",falso,Fake.br-Corpus,2026-05-24
Atenção eleitores: Um vídeo que circula nas redes sociais mostra mesários votando na urna eletrônica no lugar de eleitores ausentes em uma seção eleitoral.,falso,Telegram,2026-06-12
Senado aprova tratado internacional de comércio,verdadeiro,Lupa,2020-10-21
URGENTE! Ex-ministro da Cultura entregou gravações de Temer à PF.,falso,Fake.br-Corpus,2026-05-24
Imprensa americana aponta Bolsonaro como próximo presidente do Brasil.,falso,Fake.br-Corpus,2026-05-24
"Em MG, detentos publicam vídeo e ameaçam: ""Nóis vai metê fogo im tudo.",falso,Fake.br-Corpus,2026-05-24
Governo vai eliminar separação de poderes,falso,TSE,2025-12-18
Indústria de bebidas cresce,verdadeiro,Agência Brasil,2024-04-21
pequena áfrica vira palco da feira preta,verdadeiro,EXTRA,2026-05-24
"A chapa esquentou! Delator diz que apresentará provas sobre encontro ""sigiloso"" com Temer.",falso,Fake.br-Corpus,2026-05-24
Procuradores dos EUA poderão pedir a prisão de Lula e Dilma.,falso,Fake.br-Corpus,2026-05-24
"Caetano defende ""liberdade artística"" e leva uma sova dos internautas: ""Limite-se a cantar ... "".",falso,Fake.br-Corpus,2026-05-24
"Economia brasileira cresce 2,3%",verdadeiro,TSE,2025-10-24
"""Estou convencido de que ele me gravou"" disse Gilmar Mendes sobre Joesley Batista. .",falso,Fake.br-Corpus,2026-05-24
Presidente ordena congelamento de contas,falso,Aos Fatos,2024-05-31
Presidente ordena proibição de educação privada,falso,Fato ou Fake,2022-04-13
"Dólar fecha abaixo de R$ 5,10",verdadeiro,TSE,2023-07-25
"Willian Bonner tenta se livrar de seguidora insana: ""Ela diz que eu devo morrer de forma lenta e dolorosa"".",falso,Fake.br-Corpus,2026-05-24
Sistema bancário falha,falso,Fato ou Fake,2023-06-09
Decreto ordena fechamento de jornais,falso,Aos Fatos,2024-07-26
COPOM mantém taxa Selic inalterada,verdadeiro,Aos Fatos,2025-06-21
Presidente assina acordo secreto com terroristas,falso,Aos Fatos,2025-12-23
fiuk surge em clima de romance com loira misteriosa e web especula ser ia,verdadeiro,Meio Norte,2026-05-24
Governo vai obrigar todos a morar em condomínios estatais,falso,Lupa,2023-08-05
Banco Central anuncia ciclo de altas de juros,verdadeiro,Agência Brasil,2022-10-19
G20  Trump foi irônico ao elogiar o Brasil e Temer acreditou!.,falso,Fake.br-Corpus,2026-05-24
URGENTE: Baderneiros invadem Núcleo de Educação em Curitiba.,falso,Fake.br-Corpus,2026-05-24
caso deolane investigada que movimentou milhões recebeu bolsa família,verdadeiro,Metrópoles,2026-05-24
Governo vai tomar casas de brasileiros,falso,Fato ou Fake,2023-02-21
economia da china perde força no segundo trimestre,verdadeiro,Cruzeiro Do Sul,2026-05-24
Presidente proíbe transporte particular,falso,Fato ou Fake,2025-02-06
PIB fecha trimestre em alta,verdadeiro,Lupa,2025-01-16
após aposta em pacheco esquerda mineira se fragmenta e complica lula,verdadeiro,Metrópoles,2026-05-24
Presidente assina acordo com terroristas,falso,TSE,2023-05-26
uruguai realiza sua primeira eutanásia legal da história,verdadeiro,Diário do Centro do Mundo,2026-05-24
prefeita ivanária visita obra de nova escola em esperantina,verdadeiro,Meio Norte,2026-05-24
O interino escapou! Delação premiada mais aguardada do país foi adiada para novembro.,falso,Fake.br-Corpus,2026-05-24
Congresso aprova ditadura,falso,Fato ou Fake,2024-07-09
vulcão brasileiro que é reconhecido como o mais antigo do mundo,verdadeiro,Gazeta do Povo,2026-05-24
IPCA fica abaixo da expectativa,verdadeiro,Fato ou Fake,2022-07-22
Índice de ações fecha semana em alta,verdadeiro,Lupa,2020-03-29
Presidente vai entregar o Brasil para a China,falso,TSE,2021-08-12
Tribunal Regional Federal da 4a. região nega habeas corpus para presidente do Instituto Lula.,falso,Fake.br-Corpus,2026-05-24
oposição celebra zambelli livre,verdadeiro,Correio Braziliense,2026-05-24
dicas para pequenos negócios adotarem ia sem perder toque humano,verdadeiro,CNN Brasil,2026-05-24
Senado confirma novo ministro do Supremo Tribunal Federal,verdadeiro,Lupa,2021-06-04
Dilma tira sarro do povo brasileiro.,falso,Fake.br-Corpus,2026-05-24
o google matou o google agora todo mundo terá que se reinventar,verdadeiro,UOL,2026-05-24
Taxa de desocupação atinge menor nível em 5 anos,verdadeiro,Agência Brasil,2020-07-25
Lei ordena fim de educação privada,falso,Aos Fatos,2025-12-10
URGENTE: Gilmar Mendes suspende nomeação de Lula.,falso,Fake.br-Corpus,2026-05-24
Inflação vai chegar a 100% no próximo mês,falso,Lupa,2021-09-06
Investimento estrangeiro bate recorde,verdadeiro,Lupa,2024-04-10
Tribunal Constitucional mantém constitucionalidade de lei,verdadeiro,Fato ou Fake,2026-02-13
mesmo preso bolsonaro conduz direita que não quis se endireitar,verdadeiro,UOL Notícias,2026-05-24
Todos os bancos vão quebrar e perder todos os depósitos,falso,Agência Brasil,2022-07-29
"Partido da REDE, o novo hospedeiro do vírus ""petralha"", diz que quer cassação de Dilma.",falso,Fake.br-Corpus,2026-05-24
arroz de pato entrevistas e bola com pet os bastidores da campanha de roberto kalil para entrar na academia nacional de medicina,verdadeiro,O GLOBO,2026-05-24
trump enfrenta ameaça armada em menos de anos após tiroteio perto da casa branca,verdadeiro,InfoMoney,2026-05-24
empresas querem fgts pela metade e inss zerado para aderir ao fim da escala x,verdadeiro,A Tribuna,2026-05-24
Supremo rejeita pedido de habeas corpus,verdadeiro,Fato ou Fake,2020-08-14
STF aprova medida cautelar em processo político,verdadeiro,Fato ou Fake,2024-08-21
pmal contabiliza quase quilos de drogas e armas de fogo apreendidos em uma semana,verdadeiro,Tribuna Independente,2026-05-24
Investimento em energia cresce,verdadeiro,Agência Brasil,2024-07-15
dia do vestibulando dicas para se preparar para o enem e vestibulares,verdadeiro,CNN Brasil,2026-05-24
Governo vai substituir real por criptomoeda obrigatória,falso,TSE,2025-09-11
família que achou petróleo no ceará segue sem compensação financeira,verdadeiro,TNH1,2026-05-24
"Anonymous alerta o governo: ""Não se atrevam a mexer na internet ou iremos mostrar quem manda"".",falso,Fake.br-Corpus,2026-05-24
entrou na pilha do pt,verdadeiro,Metrópoles,2026-05-24
"João Dória está deixando o PSDB, saiba qual será o novo partido.",falso,Fake.br-Corpus,2026-05-24
com auxílio de bancários quadrilha desviou r milhões de clientes em mg,verdadeiro,Estado de Minas,2026-05-24
Mercado de renda variável cresce,verdadeiro,TSE,2025-02-20
"Professor Beluzzo fala ao senado e define Dilma: ""É um treinador que dá um nocaute em seu próprio lutador"". .",falso,Fake.br-Corpus,2026-05-24
a aposta do pt para eleger a dona do cofre do partido,verdadeiro,Metrópoles,2026-05-24
"Tragédia anunciada: Jornalista alerta que estádio do Corinthians pode desabar sobre avenida em SP. ""O estacionamento do estádio corre o risco de parar na Radial Leste"" publicou o jornalista Juca Kfouri.",falso,Fake.br-Corpus,2026-05-24
"Antes de morrer, ex-marido de Dilma desabafou: ""Se o Lula tivesse morrido, não teria havido impeachment"".",falso,Fake.br-Corpus,2026-05-24
Juiz federal Marcelo Bretas dá Xeque-Mate antológico e empareda Gilmar Mendes. .,falso,Fake.br-Corpus,2026-05-24
"""Senhor X"" é transferido para o ""Xilindró"" Bangu 9. .",falso,Fake.br-Corpus,2026-05-24
Fundos de investimento ampliam alocação em Brasil,verdadeiro,Aos Fatos,2023-05-29
Governo toma casas de cidadãos,falso,Fato ou Fake,2023-05-25
quanto tempo leva para desenvolver uma vacina em caso de novas pandemias,verdadeiro,Diário do Centro do Mundo,2026-05-24
estamos assistindo a política e a polícia riscarem o nome bolsonaro da urna para presidente,verdadeiro,Brasil 247,2026-05-24
Acreditem se quiser! Defesa de Lula admite crimes e pede prescrição da pena.,falso,Fake.br-Corpus,2026-05-24
pacto contra o feminicídio brasil propõe acordo ao mercosul,verdadeiro,G1,2026-05-24
"Suplicy agiu como uma criança mimada! Polícia Militar carregou o ""vovô"" com todo cuidado!.",falso,Fake.br-Corpus,2026-05-24
Vendas no comércio crescem,verdadeiro,Aos Fatos,2024-12-23
"Trump diz que conflito com a Coréia do Norte é praticamente inevitável: ""Será grande e catastrófico"". .",falso,Fake.br-Corpus,2026-05-24
"Ainda em recuperação, ""apóstolo"" Valdemiro Santiago pede ajuda para seus fieis: ""Preciso de R$ 8 milhões"".",falso,Fake.br-Corpus,2026-05-24
Pixuleco aparece no Guarujá e é capturado pelo japonês da Federal.,falso,Fake.br-Corpus,2026-05-24
como investir nos eua diretamente do brasil,verdadeiro,CNN Brasil,2026-05-24
reapresentação do nome de messias para o stf,verdadeiro,Consultor Jurídico,2026-05-24
estatais de petróleo devem acelerar transição energética aponta estudo,verdadeiro,Brasil 247,2026-05-24
viaturas da pm em uberaba terão starlink para reforçar patrulhamento na zona rural,verdadeiro,Jornal Da Manha,2026-05-24
Custo de vida multiplica por 10,falso,TSE,2021-12-23
"PMDB descamba de vez! Senador aliado de Temer desabafa: ""Governo corrupto e traidor"". .",falso,Fake.br-Corpus,2026-05-24
a seis dias do fim do prazo ainda não enviaram declaração do imposto de renda,verdadeiro,Meio Norte,2026-05-24
fux pede vista e adia decisão sobre piso da enfermagem,verdadeiro,Poder360,2026-05-24
partidos políticos de olho nos bilhões do fundo eleitoral,verdadeiro,Correio Braziliense,2026-05-24
Inflação de alimentos recua em maio,verdadeiro,Lupa,2023-02-23
casal paga apê vendido duas vezes e justiça manda devolver dinheiro,verdadeiro,G1,2026-05-24
Preços vão triplicar em 2026,falso,TSE,2025-03-20
caminhada marca manifesto contra corte de árvores na área do horto florestal em sapucaia do sul,verdadeiro,Correio Do Povo,2026-05-24
Congresso aprova venda de território,falso,TSE,2024-09-07
Captação de recursos bate recorde,verdadeiro,Fato ou Fake,2020-04-04
"PIB brasileiro cresce 2,5% no primeiro trimestre",verdadeiro,TSE,2025-08-12
campanha da cbf para torcida foi gravada em periferia do df,verdadeiro,Metrópoles,2026-05-24
datafolha dos eleitores de flávio defendem que ele siga na disputa mesmo após dark horse,verdadeiro,Tribuna Do Norte,2026-05-24
Presidente ordena censura de internet,falso,Agência Brasil,2024-09-04
Desemprego vai chegar a 100%,falso,Fato ou Fake,2022-03-02
Governo anuncia plano de segurança pública,verdadeiro,TSE,2022-07-14
Mercado de ações fecha,falso,TSE,2023-06-08
tenda de tratamento de ebola é incendiada novamente no congo e pacientes suspeitos fogem de centro de saúde,verdadeiro,G1,2026-05-24
vídeo rússia usa supermíssil contra ucrânia,verdadeiro,Folha de S.Paulo,2026-05-24
Governo faz pacto com criminosos,falso,TSE,2025-09-14
entenda a restrição da ue sobre antimicrobianos,verdadeiro,CNN Brasil,2026-05-24
Lewandoswski manda soltar membro do PCC acusado de comandar ataque a batalhão da PM.,falso,Fake.br-Corpus,2026-05-24
"A farra não para! Senado vai gastar R$ 50 mil para comprar xícaras com ""frisos dourados"".",falso,Fake.br-Corpus,2026-05-24
paternalismo do governo com fgts limita acesso a crédito barato,verdadeiro,Gazeta do Povo,2026-05-24
entrevista quem tem incumbência de desenvolver política de segurança não pode ser insensível aos apelos da população diz ministro da justiça,verdadeiro,O GLOBO,2026-05-24
baixas temperaturas surpreendem brasilienses neste fim de semana,verdadeiro,Correio Braziliense,2026-05-24
Dilma já caiu? Não! Mas o dente de Renan Calheiros sim! Senador perde dente durante entrevista.,falso,Fake.br-Corpus,2026-05-24
dólar sobe na sessão mas fecha semana com queda acumulada de,verdadeiro,UOL Economia,2026-05-24
Câmbio fecha estável,verdadeiro,Aos Fatos,2022-12-14
análise portugal endurece lei para cidadania mas não se compara aos eua,verdadeiro,CNN Brasil,2026-05-24
"O governo federal anunciou a criação de um subsídio de R$ 1,20 por litro para o diesel importado, visando conter a alta dos combustíveis. A medida, que terá um custo estimado de R$ 3 bilhões, foi articulada pelo novo ministro da Fazenda, Dario Durigan, em conjunto com os estados para evitar repasses ao consumidor final.",verdadeiro,Agência Brasil,2026-06-12
irmã de deolane diz que influenciadora é perseguida por ter apoiado lula,verdadeiro,Notícias da TV,2026-05-24
como ataque inédito de harpia alerta para risco de desmatamento,verdadeiro,UOL,2026-05-24
copa do mundo veja como chega a frança uma das favoritas ao título,verdadeiro,Correio Do Povo,2026-05-24
Congresso aprova confisco de imóveis,falso,Agência Brasil,2020-04-27
Presidente assina decreto de proteção ambiental,verdadeiro,TSE,2022-07-09
Real é abolido,falso,Agência Brasil,2024-04-13
serviço secreto dos eua mata homem que abriu fogo perto da casa branca,verdadeiro,Correio Do Povo,2026-05-24
"Rússia entra na briga contra o Estado Islâmico e Putin avisa: "" Vamos castigar esses criminosos "". .",falso,Fake.br-Corpus,2026-05-24
Cena patética! Colocaram Lula dentro de um fusquinha para aparentar humildade.,falso,Fake.br-Corpus,2026-05-24
dark horse pelo menos locais se recusaram a aparecer em filme sobre jair bolsonaro,verdadeiro,"O Estado de S. Paulo,",2026-05-24
semana do agro entenda as críticas do governo e de ambientalistas a novo pacote de flexibilização em curso na câmara,verdadeiro,O GLOBO,2026-05-24
Presidente planeja golpe de estado,falso,Agência Brasil,2020-10-05
"Gilmar Mendes: ""Nomeação de Lula é uma barbárie, uma bizarrice, um momento caricato"".",falso,Fake.br-Corpus,2026-05-24
"Dólar fecha a semana em R$ 5,15",verdadeiro,TSE,2023-05-06
pressão por cpi do master vira guerra de narrativas no congresso sete iniciativas aguardam análise,verdadeiro,G1,2026-05-24
um a cada cinco veículos monitorados pela civitas no rio é clonado como a tecnologia ajuda autoridades a desvendarem crimes,verdadeiro,O GLOBO,2026-05-24
Ibovespa atinge novo recorde histórico,verdadeiro,TSE,2023-05-05
governo entrega máquinas agrícolas e amplia ações de sustentabilidade no maranhão,verdadeiro,Jornal Pequeno,2026-05-24
Lei confisca terras de agricultores,falso,Lupa,2023-07-27
Lista com mais de 200 candidatos que receberam doações da JBS.,falso,Fake.br-Corpus,2026-05-24
"Gleisi posta foto com Dilma no ""CIRCO da democracia"" e internauta mita: "" Agora sim.",falso,Fake.br-Corpus,2026-05-24
stf julga nesta semana recursos das big techs sobre regulação das redes,verdadeiro,CNN Brasil,2026-05-24
projeto que limita fiscalização do ibama contra desmatamento ilegal é aprovado na câmara,verdadeiro,Valor Econômico,2026-05-24
Moeda brasileira se valoriza,verdadeiro,Aos Fatos,2020-10-02
frigoríficos falham no controle do desmate no cerrado aponta radar verde,verdadeiro,CNN Brasil,2026-05-24
conversas de flávio com vorcaro têm efeito limitado no apoio à candidatura,verdadeiro,Gazeta do Povo,2026-05-24
Inflação ao consumidor recua,verdadeiro,Lupa,2025-09-19
Setor de papel e celulose cresce,verdadeiro,Agência Brasil,2020-01-16
minirreforma eleitoral aprovada na câmara tem resistência no senado,verdadeiro,Metrópoles,2026-05-24
URGENTE: Quebra-pau no plenário da Câmara agora! O povo se cansou e invadiu Brasília!.,falso,Fake.br-Corpus,2026-05-24
niterói abre terceiro edital do aluguel universitário em junho com mil vagas,verdadeiro,O GLOBO,2026-05-24
"Diogo Portugal dá ""conselho"" valioso para Lula: ""Viu o Eike? Corre e compra um diploma.",falso,Fake.br-Corpus,2026-05-24
"STF manda soltar ""homem da mala"". Edson Fachin, ministro do STF, mandou soltar o ex-deputado Rodrigo Rocha Loures.",falso,Fake.br-Corpus,2026-05-24
"ESCÂNDALO! Vaticano vai julgar cardeal que ""desviou"" verba de hospital infantil para reformar apto de 700m².",falso,Fake.br-Corpus,2026-05-24
"Gilmar Mendes é hostilizado na Europa: ""A gente pede pra Deus te levar para o inferno"".",falso,Fake.br-Corpus,2026-05-24
Indústria automotiva cresce,verdadeiro,Agência Brasil,2022-10-27
Consumo das famílias tem alta,verdadeiro,TSE,2020-03-11
Presidente autoriza injeção de rastreador em população,falso,Agência Brasil,2022-04-03
do churrasco à cerveja cesta da copa sobe mais que a inflação desde veja as altas,verdadeiro,Valor Investe,2026-05-24
Governo nacionaliza todas as casas,falso,Agência Brasil,2023-02-20
PT faz o Brasil passar vergonha diante do mundo.,falso,Fake.br-Corpus,2026-05-24
Bolsa é abolida,falso,Fato ou Fake,2020-03-20
Lei proíbe críticas ao governo,falso,Fato ou Fake,2022-06-13
Governo vai censurar internet e redes sociais,falso,TSE,2024-05-07
casa branca tentará interferir na eleição brasileira diz escritora anne applebaum,verdadeiro,O GLOBO,2026-05-24
Real vai desaparecer e ser substituído por moeda global,falso,Lupa,2024-10-13
Governo toma propriedades rurais,falso,Aos Fatos,2025-12-19
caiu em um golpe do pix veja como agir para recuperar seu dinheiro,verdadeiro,CNN Brasil,2026-05-24
Rússia ordena que mísseis nucleares sejam posicionados nas fronteiras da Europa.,falso,Fake.br-Corpus,2026-05-24
Governo anuncia novo programa de transferência de renda,verdadeiro,Fato ou Fake,2023-04-24
prefeito de buriticupu é afastado por suspeita de fraude na merenda escolar,verdadeiro,O Imparcial,2026-05-24
política nas universidades formação cidadã,verdadeiro,Poder360,2026-05-24
"(vídeo) Em SP, manifestante chega perto de Dilma e grita: ""Zica do inferno.",falso,Fake.br-Corpus,2026-05-24
Crescimento econômico acelera em segundo trimestre,verdadeiro,Aos Fatos,2021-10-07
Cerveró coloca fogo na política e delata 3 ex-presidentes da república.,falso,Fake.br-Corpus,2026-05-24
Governo lança programa de bolsas para pesquisadores,verdadeiro,Lupa,2025-06-16
saiba o que está na mesa com o julgamento da lei da ficha limpa,verdadeiro,CNN Brasil,2026-05-24
Presidente assina decreto para se tornar ditador,falso,Fato ou Fake,2020-07-11
causas e impactos no brasil,verdadeiro,Gazeta do Povo,2026-05-24
Governo implanta microchips em vacinas,falso,Fato ou Fake,2023-01-15
Homem é preso com um arsenal em Brasília.,falso,Fake.br-Corpus,2026-05-24
bolsonaro não adere aos livros nem para reduzir pena,verdadeiro,Brasil 247,2026-05-24
Preços aumentam exponencialmente,falso,Agência Brasil,2022-04-26
Bancos vão à falência,falso,Aos Fatos,2021-03-13
"PHA pede a prisão dos donos da Globo e diz que José Serra é o ""maior ladrão do Brasil"".",falso,Fake.br-Corpus,2026-05-24
patos são retirados de lago da prefeitura após mortes de aves,verdadeiro,Cruzeiro Do Sul,2026-05-24
"Bolsa de Valores sobe 1,5% em pregão",verdadeiro,TSE,2022-03-30
Sistema bancário brasileiro vai colapsar,falso,Lupa,2022-09-05
Governo proíbe propriedade de veículos,falso,Lupa,2021-06-06
bruno gagliasso brinca sobre surubão de noronha não me convidaram,verdadeiro,CNN Brasil,2026-05-24
o entrave oculto da transição energética brasileira,verdadeiro,Época NEGÓCIOS,2026-05-24
Todos perdem emprego,falso,Lupa,2020-01-06
"De acordo com Gilmar Mendes, Sérgio Moro e Deltan Dallagnol são ""cretinos que deliram"".",falso,Fake.br-Corpus,2026-05-24
gilmar vota para manter escolas cívicomilitares de tarcísio mas barra exaltação militar,verdadeiro,Diário do Centro do Mundo,2026-05-24
saberes milenares e ciência moderna dividem espaço na saúde,verdadeiro,Correio Braziliense,2026-05-24
